SKIPPED DUPLICATES (Not Abandoned)
================================================================================
Total: 960

1. Duplicate: d056781c-f458-4f79-9bfd-9f2340d980d5 | Original: e3c2853a-e557-4c7f-8e4c-6b583de17558 | Status: Pending_Approval | Mode: CAPI
160. Duplicate: 432debbd-5252-48b6-bbb8-f384aeb1df07 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
161. Duplicate: 13b002ec-7292-4837-8e8a-43f9edd41366 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
162. Duplicate: c0f2b246-20de-4c5f-9283-f17d55efbe33 | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
163. Duplicate: 2c52cb0c-2b33-4e3e-8426-6fe66d77d68e | Original: f684cedc-1f7d-40ed-b09e-94561fe713bf | Status: Pending_Approval | Mode: CAPI
164. Duplicate: f6b30492-eb77-4fae-8d63-4c0975e7eb28 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
165. Duplicate: 108a8ed4-59e7-4ca0-9a5d-a0f8cd1c307c | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
166. Duplicate: de46afa3-f5c9-4ca9-8b26-6a5a6406d0b4 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
167. Duplicate: 47793f53-c9b8-4cd5-94f7-d46b4a39b713 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
168. Duplicate: 75c09401-c570-4901-a22e-39080e914315 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
169. Duplicate: e63f3094-e491-4216-844c-809679c22862 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
170. Duplicate: 84ae8c69-7206-49fd-9c9f-356414ebab0b | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
171. Duplicate: afde4aa7-35b7-42c6-a3b5-6da330b77c48 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
172. Duplicate: a100bcef-b188-4365-a457-db14dc6787bf | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
173. Duplicate: 0de5ec72-2cc6-4de7-b4a9-2e5ac2c133fd | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
174. Duplicate: d92c0924-0bf0-4f36-8a01-4fa4c6f15757 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
175. Duplicate: ada119e3-80d5-4de8-a223-daa7c8f25ed0 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
176. Duplicate: 3840e4a0-aedf-49a9-95dc-57b66103713a | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
177. Duplicate: 4137c2e3-9409-425c-bbde-b3786ed0af6b | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
178. Duplicate: b5d52a93-79d8-4fc6-9163-4a743d5c3c6e | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
179. Duplicate: a20b9f19-5ff0-4696-b286-bc393d2708a5 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
180. Duplicate: 92ea096e-7e21-4e03-af35-19a5d7fdc68a | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
181. Duplicate: ccc23b15-eaeb-4f74-997d-cdcc9b1fdb7e | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
182. Duplicate: 5fde1e1f-2439-4771-a880-a9fe11fe764e | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
183. Duplicate: cb0ba2c4-6465-4280-ba1d-35c82055c8b0 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
184. Duplicate: 11f7509e-a238-42bb-9623-8604aacc8235 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
185. Duplicate: 34d0cec3-c887-457c-b993-e345e2c581ec | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
186. Duplicate: 88b3a5a9-6da1-47ba-8fc0-5ae9d617908d | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
187. Duplicate: 8adf518a-d9e8-4345-8c0c-1c9f0ccff65e | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
188. Duplicate: 35382fea-ac9b-43fa-8c62-e558f8ff4c40 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
189. Duplicate: 9821418d-2d29-41ed-94db-23be6d480723 | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
190. Duplicate: 31b32e1d-be47-44ab-b0d7-aa39a2a54e0a | Original: e3006f45-8437-4c5a-916f-10a75bc6eb29 | Status: Pending_Approval | Mode: CAPI
191. Duplicate: 0c0e2dd7-399c-42c9-90e0-db8da31c493b | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
192. Duplicate: afc4ab2e-e448-4218-8bb8-b0b0790cfff3 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
193. Duplicate: 20357c4e-3ebb-4b7e-9e09-d590e3e190a7 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
194. Duplicate: 9065e389-8c29-4eb7-9a2b-17a1bebe470f | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
195. Duplicate: 317fb968-32cd-49fc-a83f-86e7ed9c0aef | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
196. Duplicate: 7e596aef-5d55-4428-859a-3a5f2d18db9a | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
197. Duplicate: be1b9908-be30-49e5-9c22-a47c4759f78a | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
198. Duplicate: ae9bb5dc-963b-400c-8082-5df2c353e8d6 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
199. Duplicate: 219ef5d7-0e22-49bd-a15e-0805826e92be | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
200. Duplicate: ad61ecc3-9abd-4bfa-89d5-586a0db1213b | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
201. Duplicate: aa436c02-ff7a-461e-b0ae-3b9d5893894c | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
202. Duplicate: 660e1b27-f0d6-4781-bf06-870f68c901bd | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
203. Duplicate: 87b07529-09d6-4fdd-a78e-5c3cc1f076ab | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
204. Duplicate: a7ca9827-1fc1-4ec0-9d8d-530b1c2e879a | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
205. Duplicate: 023da306-7c73-44d9-85d7-c3bb94a3e16e | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
206. Duplicate: b05cff8d-7a1a-4132-82eb-5ebf7a38a078 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
207. Duplicate: 200985a9-32d6-43fa-9e1f-8dc3baccfd97 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
208. Duplicate: 16e7e379-0d03-4ce5-a944-960b8bfed0dd | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
209. Duplicate: 175e27c3-f090-4754-8454-bc64a64bd366 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
210. Duplicate: eb48485a-37e8-4d64-9734-4b07685dad80 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
211. Duplicate: 95f538d3-d591-49e7-99f4-51e4f51315c9 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
212. Duplicate: 322fbd15-ebc4-45c3-89c2-55649ddc0fa1 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
213. Duplicate: 8511d6bf-425d-4752-afbd-083fd2a0b108 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
214. Duplicate: a4116047-5beb-44f4-a64c-711b1154fd07 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
215. Duplicate: eb1ed26f-5b4e-479e-9a2e-4dc5f44926c8 | Original: 44bd8a53-0462-4f81-b85a-38000142ca06 | Status: Pending_Approval | Mode: CAPI
216. Duplicate: 44787927-c554-428a-8f24-58420b12a80c | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
217. Duplicate: 30952fa9-ea30-4e40-880d-c663d62912c2 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
218. Duplicate: c3ef680b-7bc6-47f9-9215-fc3a1e8e29da | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
219. Duplicate: 51406dda-5d6a-4291-be27-f8ec48e32011 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
220. Duplicate: bad5c9f5-4aa9-4a81-a117-e11d47231ed1 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
221. Duplicate: e827b00d-354d-4270-b150-12952b8c55b8 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
222. Duplicate: b6efe4f1-d278-475a-a886-d88473edb5cb | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
223. Duplicate: de3ccf15-aea3-4714-a8a8-e66a4af52ddc | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
224. Duplicate: c077d0b5-fc5e-409b-9ee7-e6e0430402b8 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
225. Duplicate: 104707e3-6ede-45bd-89d3-1dd2e79ed10d | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
226. Duplicate: 9de31547-5d59-42e8-969f-d6f476789a4c | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
227. Duplicate: 16ddcfcb-09ed-4e50-be85-cb3eb7ec3e87 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
228. Duplicate: 6c96b83f-7889-4e26-af34-ec85b39386df | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
229. Duplicate: 535f0304-79e1-42aa-83fb-e3aae403325f | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
230. Duplicate: aa3dde9a-398c-489d-810c-da85a5f546a6 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
231. Duplicate: 1b218e86-e6ab-44d6-a093-9f6334df6a5f | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
232. Duplicate: bd7a9ed4-f821-4522-85d2-7d25eebcb5f3 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
233. Duplicate: 5cc15049-ca13-4834-bb3e-9d0efa37f49c | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
234. Duplicate: c7f2146d-f8d6-4bbe-b04b-560989a5306f | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
235. Duplicate: a3b25dd2-0fd0-47c3-89ee-9e297e5bb4dd | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
236. Duplicate: 222adc55-233f-48bd-8b7b-125333168cc4 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
237. Duplicate: 6994be30-0b1a-459b-a1ac-d7490a8d2581 | Original: ade4f9c2-6c77-4f6b-96c5-8d5ff1402206 | Status: Pending_Approval | Mode: CAPI
238. Duplicate: 3fb31277-ad33-4094-947e-ec54fafa4502 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
239. Duplicate: be7cab8e-40d4-4eda-8f8a-4abef06f8570 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
240. Duplicate: e0cdb000-c39a-4cdf-8052-262075be68ab | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
241. Duplicate: 45a11b3c-3c48-4f78-b7ad-d4a78d4c06c8 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
242. Duplicate: 2066c692-6881-4cc3-ac70-d2b4f124ee96 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
243. Duplicate: c3ca6a85-6cb0-4ed9-9e01-6e78951f815d | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
244. Duplicate: 9724dedf-7cbd-4deb-adad-8fd1c28ca6c4 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
245. Duplicate: 72956523-0f30-4708-b711-ff5bda7ff9b7 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
246. Duplicate: 33896415-6589-44a8-9516-683f39513677 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
247. Duplicate: a784d9cb-90ba-4ebe-ace4-a796fe3f63d7 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
248. Duplicate: 6a1b611f-eeb8-4dc6-abf3-40f3314548c8 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
249. Duplicate: 47fc671e-23f9-443c-950d-4b7cfb08f899 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
250. Duplicate: fc838c31-00bf-41ca-a969-8cb24ce3d1ed | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
251. Duplicate: fc474b85-1232-429b-a7da-7d6b09600db3 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
252. Duplicate: 45455b55-563f-4b52-aa5e-b02075cb5a05 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
253. Duplicate: 93d60119-be54-43ac-bdbd-c1d631308479 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
254. Duplicate: a4c4b91c-dc77-460e-8e81-156ca2a7bfc0 | Original: 589473e6-94fa-4593-9681-a65784ca5166 | Status: Pending_Approval | Mode: CAPI
255. Duplicate: f8bfdf3a-f0c1-4729-8b4b-3ac2c9937921 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
256. Duplicate: 98122e6f-87e3-458e-a19c-48ab1b64cef6 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
257. Duplicate: 8ddffdc2-752b-4607-aaf4-b7361293d34f | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
258. Duplicate: eaa857c4-0abd-4648-a5b5-8cdb8935429b | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
259. Duplicate: e796fc50-8ad0-4726-8926-e52d13f347d1 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
260. Duplicate: 1a10b927-ad61-4767-9a1f-850d4b5b3f29 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
261. Duplicate: 8b609dac-fb8e-4aa5-ac22-17e1b844ae90 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
262. Duplicate: 450ede1d-0535-4d3c-acfd-14eaa1a04431 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
263. Duplicate: 5995eb3f-089f-47f3-ac73-b7da2c6e081b | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
264. Duplicate: 6addd614-cdc7-4035-ad50-283114afc710 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
265. Duplicate: 8804a688-a81e-4750-b302-5c01f3196ba6 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
266. Duplicate: 74447373-5d60-4303-9f48-ad4994c2b266 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
267. Duplicate: 0ce86f40-07f3-4537-8720-9737cb4c1902 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
268. Duplicate: e1cd1d84-02b2-4b71-9926-e0a8b3f8be84 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
269. Duplicate: 4867e61c-bd96-4f3e-8243-88704f4ea96d | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
270. Duplicate: c04d412c-8d19-41a1-87b2-10f06a651333 | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
271. Duplicate: 4b81ef21-3696-4903-8922-d23c4d848e3f | Original: 7b030d69-9c0b-4831-8816-dd08e119794d | Status: Pending_Approval | Mode: CAPI
272. Duplicate: 2351df02-5262-4339-b55d-fe956f5b7743 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
273. Duplicate: 96192e4a-651e-4c9c-8d2f-89a7a785737d | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
274. Duplicate: 74b70510-3432-4b1a-879f-32a024a2896b | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
275. Duplicate: b361284e-17e7-412c-8f2b-6a8a3077886c | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
276. Duplicate: 2b9bc300-4d14-44a1-be90-d27a4dbe41ee | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
277. Duplicate: 3cb1fcc0-1895-4df5-b4a2-739f55a05f0c | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
278. Duplicate: e40c41a5-3510-4dc7-8a27-cc9de5547ba9 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
279. Duplicate: ea74ba87-e5b1-4fca-ba9a-155b926fff1e | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
280. Duplicate: 5e7a9bc0-4480-4028-b8d8-de762dc17bc7 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
281. Duplicate: 0fb156e8-872c-4a78-bc5a-93a9af421332 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
282. Duplicate: d7be1c2a-ecf6-4841-aacf-7ad0690a2a49 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
283. Duplicate: aedc8c05-e6bd-49d2-a6cf-07afb5f38c3f | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
284. Duplicate: 29a6aa0a-e097-4d85-a916-c61ff6fff632 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
285. Duplicate: 8fc90e41-db7b-4cbe-8694-2d553bf1af19 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
286. Duplicate: 9b91149d-2cb9-4a1c-a3a9-44e3729d30a4 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
287. Duplicate: c461e97a-ea28-4821-9bb8-20294640f696 | Original: b98580e2-539a-4933-837f-318501057ebe | Status: Pending_Approval | Mode: CAPI
288. Duplicate: 1e1dfe87-76b9-4017-a374-1260dc8daace | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
289. Duplicate: 93824af4-e0c3-44d9-821c-65dffb3cdb0a | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
290. Duplicate: a6fb0e9b-01c0-43a0-b3e9-feaa9b30d262 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
291. Duplicate: 7cb606d0-d387-4901-9f05-2348098bbbb2 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
292. Duplicate: 427e976e-8900-4542-80bf-ca9add691b70 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
293. Duplicate: ad757ee9-543b-4d82-8612-a117fbf9742b | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
294. Duplicate: 0b89bab4-3bc4-4195-8855-142f97c38533 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
295. Duplicate: 04f1f072-e2f7-4cee-8e5c-c4fa37c170fa | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
296. Duplicate: ea9d7c88-5234-4daf-9f9f-e394388f2015 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
297. Duplicate: c83eb40b-0cc4-4ef2-947d-6cf4f18b3cb0 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
298. Duplicate: 76b28d69-0add-4e03-b402-ac1d99cd9892 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
299. Duplicate: 4f97f900-2ed8-43af-b02a-ce1bff8b9b49 | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
300. Duplicate: 86d902a3-e0ae-4e4f-a37f-15bf5abeb96a | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
301. Duplicate: 6f1f57a6-c863-48fe-acbf-33ddece0459f | Original: 4c7c2b82-8378-49a0-90f9-e861e6575e54 | Status: Pending_Approval | Mode: CAPI
302. Duplicate: 3ddc8f02-11c7-48f6-9d45-d8c8903c0e07 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
303. Duplicate: 393ada81-7ae6-4121-a693-02ffec04efd6 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
304. Duplicate: 68c2316a-ef8d-4221-9f26-26e906ca69ba | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
305. Duplicate: 8433d228-2815-4522-a6f4-c562f0f3fd65 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
306. Duplicate: 82c0b745-968d-47bf-9605-0f8a1b6fa3d6 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
307. Duplicate: 5137ab54-9b7a-4b19-bf67-f59239dc3737 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
308. Duplicate: 96f98501-c079-46cf-b01d-cd1e558c1a49 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
309. Duplicate: 19838e9c-26fc-4b6e-8e82-866e524abd61 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
310. Duplicate: d7085776-1139-4010-acca-24bcdc72b0ea | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
311. Duplicate: 77eca8e5-814c-450c-b836-3a8f3c866698 | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
312. Duplicate: ad90b2aa-9722-45e2-b2b3-a91c579c90fa | Original: 185fbec3-f5af-4e90-ad06-520cc6588dcc | Status: Pending_Approval | Mode: CAPI
313. Duplicate: cb2b4ad9-a34e-4188-9c38-d359ba77e5df | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
314. Duplicate: dbe5e5ad-691d-4a88-9af2-5ef9ed816e2a | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
315. Duplicate: af8c7b0c-81db-4516-a5b4-f8d86bb7a3ff | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
316. Duplicate: 5eb51236-cc90-47b3-8a93-c0c588c9a950 | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
317. Duplicate: 859e9d34-fdb7-40f8-a789-89079a589b41 | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
318. Duplicate: cb2f7f46-b979-452a-b395-eca41bc3f3a8 | Original: 363d9cb4-7deb-4729-aa29-f63ab75af108 | Status: Pending_Approval | Mode: CAPI
